id_person,name_person,address_person,phone,e_mail,identification,FK_person_type,FK_tattoo_shop
1559,Nombre cliente 18,Cra 9O 4568 No.18,3144567908,falso_email_60@mail.com,1234568249,1113,18
1560,Nombre cliente 19,Cra 0O 4568 No.19,3144567909,falso_email_61@mail.com,1234568250,1113,19
1561,Nombre cliente 20,Cra 1O 4568 No.20,3144567910,falso_email_62@mail.com,1234568251,1113,20
1562,Nombre cliente 21,Cra 2O 4568 No.21,3144567911,falso_email_63@mail.com,1234568252,1113,21
1563,Nombre cliente 22,Cra 3O 4568 No.22,3144567912,falso_email_64@mail.com,1234568253,1113,22
1564,Nombre cliente 23,Cra 4O 4568 No.23,3144567913,falso_email_65@mail.com,1234568254,1113,1
1565,Nombre cliente 24,Cra 5O 4568 No.24,3144567914,falso_email_66@mail.com,1234568255,1113,2
1566,Nombre cliente 25,Cra 6O 4568 No.25,3144567915,falso_email_67@mail.com,1234568256,1113,3
1567,Nombre cliente 26,Cra 7O 4568 No.26,3144567916,falso_email_68@mail.com,1234568257,1113,4
1568,Nombre cliente 27,Cra 8O 4568 No.27,3144567917,falso_email_69@mail.com,1234568258,1113,5
1569,Nombre cliente 28,Cra 9O 4568 No.28,3144567918,falso_email_70@mail.com,1234568259,1113,6
1570,Nombre cliente 29,Cra 0O 4568 No.29,3144567919,falso_email_71@mail.com,1234568260,1113,7
1571,Nombre cliente 30,Cra 1O 4568 No.30,3144567920,falso_email_72@mail.com,1234568261,1113,8
1572,Nombre cliente 31,Cra 2O 4568 No.31,3144567921,falso_email_73@mail.com,1234568262,1113,9
1573,Nombre cliente 32,Cra 3O 4568 No.32,3144567922,falso_email_74@mail.com,1234568263,1113,10
1574,Nombre cliente 33,Cra 4O 4568 No.33,3144567923,falso_email_75@mail.com,1234568264,1113,11
1575,Nombre cliente 34,Cra 5O 4568 No.34,3144567924,falso_email_76@mail.com,1234568265,1113,12
1576,Nombre cliente 35,Cra 6O 4568 No.35,3144567925,falso_email_77@mail.com,1234568266,1113,13
1577,Nombre cliente 36,Cra 7O 4568 No.36,3144567926,falso_email_78@mail.com,1234568267,1113,14
1578,Nombre cliente 37,Cra 8O 4568 No.37,3144567927,falso_email_79@mail.com,1234568268,1113,15
1579,Nombre cliente 38,Cra 9O 4568 No.38,3144567928,falso_email_80@mail.com,1234568269,1113,16
1580,Nombre cliente 39,Cra 0O 4568 No.39,3144567929,falso_email_81@mail.com,1234568270,1113,17
1581,Nombre cliente 40,Cra 1O 4568 No.40,3144567930,falso_email_82@mail.com,1234568271,1113,18
1582,Nombre cliente 41,Cra 2O 4568 No.41,3144567931,falso_email_83@mail.com,1234568272,1113,19
1583,Nombre cliente 42,Cra 3O 4568 No.42,3144567932,falso_email_84@mail.com,1234568273,1113,20
1584,Nombre cliente 43,Cra 4O 4568 No.43,3144567933,falso_email_85@mail.com,1234568274,1113,21
1585,Nombre cliente 44,Cra 5O 4568 No.44,3144567934,falso_email_86@mail.com,1234568275,1113,22
1586,Nombre cliente 45,Cra 6O 4568 No.45,3144567935,falso_email_87@mail.com,1234568276,1113,23
1587,Nombre cliente 46,Cra 7O 4568 No.46,3144567936,falso_email_88@mail.com,1234568277,1113,24
1588,Nombre cliente 47,Cra 8O 4568 No.47,3144567937,falso_email_89@mail.com,1234568278,1113,25
1589,Nombre cliente 48,Cra 9O 4568 No.48,3144567938,falso_email_90@mail.com,1234568279,1113,1
1590,Nombre cliente 49,Cra 0O 4568 No.49,3144567939,falso_email_91@mail.com,1234568280,1113,2
1591,Nombre cliente 50,Cra 1O 4568 No.50,3144567940,falso_email_92@mail.com,1234568281,1113,3
